search_keyword,keyword,target_sub_category,pattern_type,priority
smartphone,game controller,🎮 Accessoire Gaming,accessory,1
smartphone,vr,🎮 Accessoire Gaming,accessory,1
smartphone,lunettes,🎮 Accessoire Gaming,accessory,1
smartphone,pour pièces,🔧 Pièces Détachées,accessory,1
smartphone,trepied,🔌 Accessoire Smartphone,accessory,1
smartphone,tripod,🔌 Accessoire Smartphone,accessory,1
smartphone,gamepad,🎮 Accessoire Gaming,accessory,1
smartphone,stabilisateur,🔌 Accessoire Smartphone,accessory,1
smartphone,stabilizer,🔌 Accessoire Smartphone,accessory,1
smartphone,ring,🔌 Accessoire Smartphone,accessory,1
smartphone,selfie,🔌 Accessoire Smartphone,accessory,1
smartphone,anneau,🔌 Accessoire Smartphone,accessory,1
smartphone,bague,🔌 Accessoire Smartphone,accessory,1
smartphone,projecteur,🔌 Accessoire Smartphone,accessory,1
smartphone,holographique,🔌 Accessoire Smartphone,accessory,1
smartphone,dji,🔌 Accessoire Smartphone,accessory,1
iphone,coque,🔌 Accessoire Smartphone,accessory,1
iphone,chargeur,🔌 Accessoire Smartphone,accessory,1
iphone,vitre,🔌 Accessoire Smartphone,accessory,1
samsung,télécommande,🔌 Accessoire Smartphone,accessory,1
samsung,écran,🔌 Accessoire Ordinateur,accessory,1
samsung,charger,🔌 Accessoire Smartphone,accessory,1
samsung,wireless charger,🔌 Accessoire Smartphone,accessory,1
console,beyblade,🎮 Accessoire Gaming,accessory,1
console,feiyutech,🔌 Accessoire Smartphone,accessory,1
console,everdrive,🎮 Accessoire Console,accessory,1
console,sync strike,🎮 Accessoire Console,accessory,1
pc,souris,🔌 Accessoire Ordinateur,accessory,1
pc,clavier,🔌 Accessoire Ordinateur,accessory,1
pc,ecran,🔌 Accessoire Ordinateur,accessory,1
macbook,housse,🔌 Accessoire Ordinateur,accessory,1
macbook,chargeur,🔌 Accessoire Ordinateur,accessory,1
iphone,17 pro max,📱 Smartphone Apple,main,2
iphone,16 pro,📱 Smartphone Apple,main,2
iphone,pro max,📱 Smartphone Apple,main,2
iphone,100%,📱 Smartphone Apple,main,2
samsung,galaxy s26 ultra,📱 Smartphone Samsung,main,2
samsung,galaxy s,📱 Smartphone Samsung,main,2
ps5,psone,🕹️ Console PS1,main,2
ps5,ps 1,🕹️ Console PS1,main,2
ps5,ps 4 fat,🕹️ Console PS4,main,2
ps5,ps4 fat,🕹️ Console PS4,main,2
ps5,ps4 1to,🕹️ Console PS4,main,2
ps5,ps3,🕹️ Console PS3,main,2
ps5,playstation 5,🕹️ Console PS5,main,2
playstation,psone,🕹️ Console PS1,main,2
playstation,ps 1,🕹️ Console PS1,main,2
playstation,ps4 fat,🕹️ Console PS4,main,2
playstation,ps4 1to,🕹️ Console PS4,main,2
playstation,ps3,🕹️ Console PS3,main,2
playstation,ps5,🕹️ Console PS5,main,2
switch,lite,🕹️ Console Switch,main,2
console,nintendo ds,🕹️ Console Nintendo DS,main,2
console,nintendo ds lite,🕹️ Console Nintendo DS,main,2
console,nintendo 2ds,🕹️ Console Nintendo 2DS,main,2
console,gameboy,🕹️ Console GameBoy,main,2
console,game boy,🕹️ Console GameBoy,main,2
console,game & watch,🕹️ Console Vintage,main,2
console,wii,🕹️ Console Nintendo Wii,main,2
console,wii u,🕹️ Console Nintendo Wii U,main,2
console,sega,🕹️ Console Sega,main,2
console,megadrive,🕹️ Console Sega,main,2
console,dreamcast,🕹️ Console Sega,main,2
console,saturn,🕹️ Console Sega,main,2
console,atari,🕹️ Console Atari,main,2
console,colecovision,🕹️ Console Vintage,main,2
console,arcade,🕹️ Console Arcade,main,2
console,my arcade,🕹️ Console Arcade,main,2
console,tiger,🕹️ Console Vintage,main,2
console,bingo,🕹️ Console Vintage,main,2
console,vintage,🕹️ Console Vintage,main,2
console,retro,🕹️ Console Retro,main,2
console,neo geo,🕹️ Console Vintage,main,2
console,anbernic,🕹️ Console Retro,main,2
console,rg40xx,🕹️ Console Retro,main,2
console,q ware,🕹️ Console Vintage,main,2
console,amstrad,🕹️ Console Vintage,main,2
console,unigro,🕹️ Console Vintage,main,2
console,lansay,🕹️ Console Vintage,main,2
console,radicas,🕹️ Console Vintage,main,2
console,liftlever,🕹️ Console Vintage,main,2
console,mad monkey,🕹️ Console Retro,main,2
console,fisher price,🕹️ Console Enfant,main,2
console,vtech,🕹️ Console Enfant,main,2
console,psp,🕹️ Console PSP,main,2
console,nes,🕹️ Console NES,main,2
console,snes,🕹️ Console SNES,main,2
console,n64,🕹️ Console N64,main,2
console,gameboy color,🕹️ Console GameBoy,main,2
console,gameboy advance,🕹️ Console GameBoy,main,2
console,gba,🕹️ Console Game Boy,main,2
console,3ds,🕹️ Console Nintendo 3DS,main,2
console,dsi,🕹️ Console Nintendo DSi,main,2
console,nds,🕹️ Console Nintendo DS,main,2
console,acetronic,🕹️ Console Vintage,main,2
console,famicom,🕹️ Console Vintage,main,2
console,game gear,🕹️ Console Sega,main,2
console,master system,🕹️ Console Sega,main,2
pc,ordinateur,💻 Ordinateur,main,2
pc,laptop,💻 Ordinateur,main,2
macbook,macbook,💻 Ordinateur,main,2
smartphone,neow,📱 Smartphone,main,2
smartphone,c50s,📱 Smartphone,main,2
console,snk,🕹️ Console Vintage,main,2
console,neogeo pocket,🕹️ Console Vintage,main,2
console,bandai,🕹️ Console Vintage,main,2
console,terror house,🕹️ Console Vintage,main,2
console,texas instrument,🕹️ Console Vintage,main,2
console,parachute,🕹️ Console Vintage,main,2
console,super famicom,🕹️ Console SNES,main,2
console,famicom,🕹️ Console NES,main,2
smartphone,mi 9t,📱 Smartphone,main,2
smartphone,mi 9,📱 Smartphone,main,2
smartphone,mi 11,📱 Smartphone,main,2
redmi,redmi,📱 Smartphone,main,2
poco,poco,📱 Smartphone,main,2
xiaomi,redmi,📱 Smartphone,main,2
oppo,oppo,📱 Smartphone,main,2
realme,realme,📱 Smartphone,main,2
nokia,nokia,📱 Smartphone,main,2
honor,honor,📱 Smartphone,main,2
huawei,huawei,📱 Smartphone,main,2
motorola,motorola,📱 Smartphone,main,2
wiko,wiko,📱 Smartphone,main,2
vtech,vtech,📱 Smartphone,main,2
doro,doro,📱 Smartphone,main,2
logicom,logicom,📱 Smartphone,main,2
polaroid,polaroid,📱 Smartphone,main,2
sony,xperia,📱 Smartphone,main,2
sony,sony,📱 Smartphone,main,2
alcatel,alcatel,📱 Smartphone,main,2
lg,lg,📱 Smartphone,main,2
tcl,tcl,📱 Smartphone,main,2
htc,htc,📱 Smartphone,main,2
zte,zte,📱 Smartphone,main,2
orange,orange,📱 Smartphone,main,2
altice,altice,📱 Smartphone,main,2
doogee,doogee,📱 Smartphone,main,2
danew,danew,📱 Smartphone,main,2
staraddict,staraddict,📱 Smartphone,main,2
crosscall,crosscall,📱 Smartphone,main,2
oneplus,oneplus,📱 Smartphone,main,2
poco,poco,📱 Smartphone,main,2
blackview,blackview,📱 Smartphone,main,2
thomson,thomson,📱 Smartphone,main,2
evertek,evertek,📱 Smartphone,main,2
freeyond,freeyond,📱 Smartphone,main,2
google,pixel,📱 Smartphone,main,2
tele,television,📺 Téléviseur,main,3
tele,televiseur,📺 Téléviseur,main,3
tele,télévision,📺 Téléviseur,main,3
tele,téléviseur,📺 Téléviseur,main,3
tele,tv,📺 Téléviseur,main,3
tele,tele,📺 Téléviseur,main,3
tele,télé,📺 Téléviseur,main,3
iphone,iphone,📱 Smartphone Apple,main,3
samsung,galaxy,📱 Smartphone Samsung,main,3
xiaomi,xiaomi,📱 Smartphone,main,3
switch,switch,🕹️ Console Switch,main,3
wii,wii,🕹️ Console Wii,main,3
ps5,ps5,🕹️ Console PS5,main,3
ps4,ps4,🕹️ Console PS4,main,3
playstation,playstation,🕹️ Console Playstation,main,3
XBOX,XBOX,🕹️ Console Xbox,main,3
xbox360,xbox360,🕹️ Console Xbox 360,main,3
samsung,samsung,📱 Smartphone Samsung,main,4
pc,pc,💻 Ordinateur,main,4
tele,fp,🕹️ Console Retro,main,4
tele,lot,📦 Annonce Divers / Lots,accessory,5
tele,divers,📦 Annonce Divers / Lots,accessory,5
tele,vide,📦 Annonce Divers / Lots,accessory,5
tele,vends,📦 Annonce Divers / Lots,accessory,5
tele,recherche,📦 Annonce Divers / Lots,accessory,5
tele,a la une,📦 Annonce Divers / Lots,accessory,5
tele,annonce,📦 Annonce Divers / Lots,accessory,5
tele,télé + meuble,📺 Pack TV + Meuble,main,1
tele,télé avec meuble,📺 Pack TV + Meuble,main,1
tele,telé et meuble,📺 Pack TV + Meuble,main,1
tele,ensemble télé,📺 Pack TV + Meuble,main,1
tele,meuble bar console,🪑 Meuble TV,accessory,1
tele,console avec miroir,🪑 Meuble TV,accessory,1
tele,console bois,🪑 Meuble TV,accessory,1
pc,big box,💿 Jeu Vidéo,software,1
pc,joystick,📰 Magazine Tech / Gaming,accessory,1
pc,magazine,📰 Magazine Tech / Gaming,accessory,1
pc,pc engine,🕹️ Console Retro,main,1
pc,coregrafx,🕹️ Console Retro,main,1
pc,turbo express,🕹️ Console Retro,main,1
pc,msi claw,🕹️ Console Retro,main,1
pc,micro usb,🔌 Accessoire Smartphone,accessory,1
pc,microphone,🔊 Audio / Home Cinéma,accessory,1
pc,amiga,💻 Ordinateur Vintage,main,1
pc,commodore,💻 Ordinateur Vintage,main,1
pc,ordinateur de bord,🚗 Pièce Automobile,autre,1
pc,compteur,🚗 Pièce Automobile,autre,1
pc,bucket,🧸 Goodies / Figurine,autre,1
pc,yoshi,🧸 Goodies / Figurine,autre,1
smartphone,smartphone spc,📱 Smartphone,main,1
smartphone,lot smartphone,📦 Annonce Divers / Lots,autre,1
